a_lyric;a_music;lyric;title
Enrique Cadícamo;Enrique Cadícamo;"De mis páginas vividas, siempre llevo un gran recuerdo mi emoción no las olvida, pasa el tiempo y más me acuerdo. Tres amigos siempre fuimos en aquella juventud... Era el trío más mentado que pudo haber caminado por esas calles del sur. ¿Dónde andarás, Pancho Alsina? ¿Dónde andarás, Balmaceda? Yo los espero en la esquina de Suárez y Necochea... Hoy... ninguno acude a mi cita. Ya... mi vida toma el desvío. Hoy... la guardia vieja me grita: ""¿Quién... ha dispersado aquel trío?"" Pero yo igual los recuerdo mis dos amigos de ayer... Una vez, allá en Portones, me salvaron de la muerte. Nunca faltan encontrones cuando un pobre se divierte. Y otra vez, allá en Barracas, esa deuda les pagué... Siempre juntos nos veían... Esa amistad nos tenía atados siempre a los tres. ";Tres amigos
Enrique Santos Discépolo;Enrique Santos Discépolo;No doy un paso más, alma otaria que hay en mí, me siento destrozao, ¡murámonos aquí! Pa' qué seguir así, padeciendo a lo fakir, si el mundo sigue igual... si el sol vuelve a salir... La gente me ha engañao desde el día en que nací. Los hombres se han burlao, la vieja la perdí... No ves que estoy en yanta, y bandeao por ser un gil... Cachá el bufoso... y chau... ¡vamo a dormir! Tres esperanzas tuve en mi vida, dos eran blancas y una punzó... Una mi madre, vieja y vencida, otra la gente, y otra un amor. Tres esperanzas tuve en mi vida dos me engañaron, y una murió... No tengo ni rencor, ni veneno, ni maldad Son ganas de olvidar, ¡terror al porvenir! Me he vuelto pa' mirar y el pasao me ha hecho reír... ¡Las cosas que he soñao, me cache en dié, qué gil! Plantate aquí nomás, alma otaria que hay en mí. Con tres pa' qué pedir, más vale no jugar... Si a un paso del adiós no hay un beso para mí cachá el bufoso... y chau...¡vamo a dormir! ;Tres esperanzas
" Ángel D'Agostino / Alfredo 
Attadía Letra: Enrique Cadícamo";"Ángel D'Agostino / Alfredo 
Attadía Letra: Enrique Cadícamo";Yo soy del barrio de Tres Esquinas, viejo baluarte de un arrabal donde florecen como glicinas las lindas pibas de delantal. Donde en la noche tibia y serena su antiguo aroma vuelca el malvón y bajo el cielo de luna llena duermen las chatas del corralón. Soy de ese barrio de humilde rango, yo soy el tango sentimental. Soy de ese barrio que toma mate bajo la sombra que da el parrral. En sus ochavas compadrié de mozo, tiré la daga por un loco amor, quemé en los ojos de una maleva la ardiente ceba de mi pasión. Nada hay más lindo ni más cmpadre que mi suburbio murmurador, con los chimentos de las comadres y los piropos del Picaflor. Vieja barriada que fue estandarte de mis arrojos de juventud... Yo soy del barrio que vive aparte en este siglo de Neo-Lux. ;Tres esquinas
 Juan Pecci Letra: Homero Manzi;Juan Pecci Letra: Homero Manzi;"Un patio de conventillo bajo la parra fulera y una viola milonguera que esgunfia con su estribillo un compadre estilizado salido de los versos de Carlos de la Púa y un lunfardo remanyado, bacán de la ganzúa por pura vocación. Sobre el viejo patio'e ladrillo paran dos pibes un bolón y el encargao del conventillo tira la bronca con razón. Sí pegás de repe no vale, dice el rebolo cascador, porque los pibes del suburbio nunca la ganan a traición. Cien pasiones se prendieron en la antorcha de sus ojos y en sus lindos labios rojos y en las crenchas de su pelo, porque, igual que los gorriones, sus veinte primaveras sangraban en canciones, en el patio proletario, perfumado de diosma, de orégano y clavel. ¡Sobre el viejo patio'e ladrillo tuvo el lunfardo su ilusión y la pebeta del conventillo con su prontuario fue una flor; pero, enceguecido de celos, el otro taita compadrón, sin la nobleza de los pibes, vino de repe y lo mató. ";Triste paica
" José Dames / Roberto 
Flores Letra: Horacio Sanguinetti";"José Dames / Roberto 
Flores Letra: Horacio Sanguinetti";"Tú quieres más el mar, me dijo con dolor y el cristal de su voz se quebró. Recuerdo su mirar con luz de anochecer y esta frase como una obsesión: ""Tienes que elegir entre tu mar y mi amor"". Yo le dije: ""No"" y ella dijo: ""Adiós"". Su nombre era Margó, llevaba boina azul y en su pecho colgaba una cruz. Mar... Mar, hermano mío... Mar... En tu inmensidad hundo con mi barco carbonero mi destino prisionero y mi triste soledad. Mar... Yo no tengo a nadie. Mar... Ya ni tengo amor. Sé que cuando al puerto llegue un día esperando no estará Margó. Mi pena es tempestad que azota el corazón con el viento feroz del dolor. Jamás la olvidaré y siempre escucharé sus palabras como una obsesión: ""Tienes que elegir entre tu mar y mi amor"". Triste, dije: ""No"" y escuché su adiós... Su nombre era Margó, llevaba boina azul y en su pecho colgaba una cruz. ";Tristeza marina
Homero Expósito;Domingo Federico;Calle como valle de monedas para el pan... Río sin desvío donde sufre la ciudad... ¡Qué triste palidez tienen tus luces! ¡Tus letreros sueñan cruces! ¡Tus afiches carcajadas de cartón! Risa que precisa la confianza del alcohol. Llantos hechos cantos pa' vendernos un amor. Mercado de las tristes alegrías... ¡Cambalache de caricias donde cuelgan la ilusión! Triste. ¡Si por ser nuestra! Triste. ¡Si, porque sueñas! Tu alegría es tristeza y el dolor de la espera te atraviesa... ¡Y con pálida luz vivís llorando tus tristezas! Triste. ¡Si, por ser nuestra! Triste. ¡Si, por tu cruz! Vagos con halagos de bohemia mundanal. Pobres, sin más cobres que el anhelo de triunfar, ablandan el camino de la espera con la sangre toda llena de cortados, en la mesa de algún bar. Calle como valle de monedas para el pan... Río sin desvío donde sufre la ciudad... Los hombres te vendieron como a Cristo y el puñal del obelisco te desangra sin cesar. ;Tristezas de la calle Corrientes
" Ernesto Baffa / Roberto Pérez 
Prechi Letra: Ángel Di Rosa";"Ernesto Baffa / Roberto Pérez 
Prechi Letra: Ángel Di Rosa";Te busqué... en cien lugares distintos. Te encerré... con recuerdos en mi mente. Te llamé... en mis noches de nostalgia. Te pensé... en mil sueños diferentes. Te grité... con palabras sin rencores. Te lloré... en mis horas de tristeza. Te nombré... apretando mis dolores. Te dibujé... en los rincones de mi pieza Y aun sigo mezclando tu amor y tu olvido. Dos cosas distintas que en mi alma crecen. Tu amor como un recuerdo que vive en mi tiempo y tu olvido una mueca que no desaparece. Te busqé... Te lloré... Te llamé... Te soñpe... en mil sueños diferentes. ;Tu amor y tu olvido
Homero Expósito (vals);Virgilio Expósito;Aquella juventud de la emoción primera, aquella enredadera de rosa y parral... Ya son como el perfume de un libro muy viejo, ya sólo recuerdos, tu casa ya no está... Si me parece ver aquel rondín de niños rondando un aljibe de luna al brocal, y allí en el viejo patio de olor a jazmines frenar en la rayuela las ansias de andar. Ya no vendrás con tus ojos de trigo, ya no tendrás el vestido de percal... El ayer... el ayer ha partido, tus ojos se han dormido, tu casa ya no está... Ya no hablarán tus muñecas de trapo ni el agua mansa del último adiós. Tú, que podías traerme el ayer, te has marchado con tu aroma de flor. Eterna soledad la de mis ojos claros, buscaron y buscaron poder olvidar, y hoy llenas de regreso y de angustia las manos encuentro que en el barrio tu casa ya no está... Eterna soledad la de mis ojos tristes, te llaman en la ausencia del patio otoñal, y sufren el silencio de un sueño lejano llorando aquellos años que no volverán. ;Tu casa ya no está
José Betinotti (vals);José Betinotti;"Tu diagnóstico es sencillo, sé que no tengo remedio; y sé que estoy deshauciado por tu esperanza y tu anhelo. ¡Qué vamos a hacer, mi alma! Adoraré tus recuerdos, rogaré que seas mi amiga, ya que otra dicha no tengo. De quererte como ansiaba porque olvidarte no puedo; que aunque no te vea nunca, eternamente te veo con los ojos de la mente y hasta en la idea te llevo; y a cada instante te extraño, aunque ya no soy tu dueño. Yo no me explico la causa; para mí, esto, es un misterio, que me sorprenda la aurora sin conciliar con el sueño. ¡Y que tú seas tan mala con el que te fue sincero!... ¡Y eso que tú me juraste, una tarde, amor eterno! Mi corazón ya no ama, el pobre se encuentra ajeno; hoy te amo con la cabeza, quiera Dios no te contagie ¡con la locura del genio! La locura de este ciego porque entonces tú sabrías lo que es sufrir en infierno... Y como te quiero tanto, que no lo sufras, prefiero; ya ves que no soy tan malo: desde que te vi fui bueno... por quien tuve mis desvelos... y lo seré mientras viva. ¡Qué me habrán hecho tus ojos que me encuentro tan enfermo! ";Tu diagnóstico
Vicente Spina (Vals);Vicente Spina;"Han brotado otra vez los rosales, junto al muro en el viejo jardín donde tu alma selló un juramento, amor de un momento, que hoy lloro su fin. Tierno llanto de amor fuera el tuyo, que en tus ojos divinos bebí, ojos falsos que así me engañaron al ver que lloraron los míos por ti. Más los años al pasar, me hicieron comprender la triste realidad; que tan solo es ilusión lo que amamos de verdad, sin embargo, cuando en los rosales renacen las flores, los viejos amores con sus madrigales tornan como entonces a mi corazón. Cuando vuelvan las noches de invierno, y se cubra de nieve el jardín; si estás triste sabrás acordarte, de aquel que al amarte no supo mentir. No es mi canto un reproche a tu olvido, ni un consuelo te vengo a pedir; sólo al ver el rosal florecido el sueño perdido lo vuelvo a vivir. ";Tu olvido
José María Contursi;Mariano Mores;Estoy pagando mi culpa, borracho, sin razón, perdido... Ya no tendré lo que he tenido... Ya nunca... Yo sé que nunca... Y en el silencio se quedó la queja amarga de tu adiós como un castigo... Estoy pagando mi culpa y sigo sin poder olvidar... Me faltas tú con tu piel de jazmín... Me faltas tú con tu voz, tu reír... Y en la terrible tortura de mis noches tan dramáticas y oscuras escucho siempre tu voz, toco tu piel, ¡tu piel de raso y de jazmín! Me fúi matando tus sueños y todo se quedó vacío... Abandoné lo que era mío... ¿Te acuerdas?... Tan solo mío... Y hoy que no puedo regresar tu llanto sigue junto a mí como un castigo... Me fui matando tus sueños y sigo sin poder olvidar. ;Tu piel de jazmín
 Charlo Letra: Homero Manzi (vals);Charlo Letra: Homero Manzi (vals);Te oí decir adiós, adiós... Cerré los ojos y oculté el dolor... Sentí tus pasos cruzando la tarde y no te atajaron mis manos cobardes. Mi corazón, lloró de amor y en el silencio resonó tu voz, tu voz querida, lejana y perdida, tu voz que era mía... tu pálida voz. En las noches desoladas, que sacude el viento, brillan las estrellas frías del remordimiento y me engaño que habrás de volver otra vez desatando el olvido y el tiempo. Siento que tus pasos vuelven por la senda amiga. Oigo que me nombras llena de mortal fatiga, para qué si ya sé que es inútil mi afán, nunca... nunca... vendrás. Te vi partir, dijiste adiós, temblé de angustia y oculté mi dolor. Después, pensando que no volverías traté de alcanzarte y ya no eras mía. Mi corazón, sangró de amor, y en el recuerdo resonó tu voz... tu voz querida, lejana y perdida, tu voz aterida, tu pálida voz. ;Tu pálida voz
Alfredo Faustino Roldán;Vicente Demarco;Tu cabellera rubia caía entre las flores pintadas del percal y había en tus ojeras la inconfundible huella que hablaba de tu mal... Fatal, el otoño, con su trágico murmullo de hojarascas, te envolvió y castigó el dolor... Después todo fue en vano, tus ojos se cerraron y se apagó tu voz. Llueve, la noche es más oscura... Frío, dolor y soledad... El campanario marca la danza de las horas, un vendedor de diarios se va con su pregón... ¡Qué triste está la calle./... ¡Qué triste está mi cuarto!... ¡Qué solo sobre el piano el retrato de los dos!... El pañuelito blanco que esconde en sus encajes tu pálido final y aquella crucecita regalo de mi madre aumentan mi pesar... No ves que hasta llora el viejo patio al oír el canto amargo de mi amor y mi desolación... ¡Porque las madreselvas, sin florecer te esperan como te espero yo! ;Tu pálido final
Ambrosio Río (vals);Guillermo Barbieri;He traído del campo estas flores que ayer arrancaron mis manos con gran frenesí. Porque quiero tenerte contenta, mujer, y mostrarte que yo moriría por ti. Si una intérprete fueras entonces, sentirías igual que yo siento un amor tan extraño y tan dulce que al no realizarse sería un infierno. Asomá tu carita y no me hagas sufrir, te lo pido por lo que más quieras, mi amor, que al no verte sería capaz de morir, de cariño, quizá, o de extraño dolor. Los culpables han sido tus ojos y tus labios tus cómplices fueron, que me tienen igual que a un esclavo y soy, si se quiere, tu fiel prisionero. ;Tu vieja ventana
Héctor Marcó;Graciano Gómez;La dicha es un castillo con un puente de cristal, camina suavemente si lo quieres alcanzar. Acércame tus labios sin odio, sin rencor, desecha tus temores y entrégate al amor. Tu íntimo secreto a nadie le confíes, que el mundo siempre ríe y es muy calumniador. La dicha es un castillo con un puente de cristal, de mil que lo cruzamos, dos o tres suelen llegar. Ven, mira que hermosa está la luna, ven, reclínate en mi corazón Ríe, que nuestro enojo pasará y un beso colmará mi desesperación. Ven, se que tus ojos están tristes, hay remordimientos en tu voz, y si me dejas morir comenzarás a sufrir cuando la seda de tu pañuelo me diga adiós. La dicha es un castillo con un puente de cristal, camina suavemente si lo quieres alcanzar. Un alma incomparable te di para querer, un alma, ¡oh!, que tu alma no sabe comprender, y en un cielo de olvido, lo harás por esta pena, quemar, como se quema un globo de papel. La dicha es un castillo con un puente de cristal, por él va mi cariño, acompáñalo a llegar, acompáñalo a llegar. ;Tu íntimo secreto
